V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000175.C5	GBM cell 181	Brain	Homo sapiens	1001000175	C5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B12	GBM cell 182	Brain	Homo sapiens	1001000175	B12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.E3	GBM cell 183	Brain	Homo sapiens	1001000175	E3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F11	GBM cell 184	Brain	Homo sapiens	1001000175	F11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.G9	GBM cell 185	Brain	Homo sapiens	1001000175	G9	Tumor	BT_S2	7	Immune cell	Regular
1001000175.G4	GBM cell 186	Brain	Homo sapiens	1001000175	G4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C4	GBM cell 187	Brain	Homo sapiens	1001000175	C4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F9	GBM cell 188	Brain	Homo sapiens	1001000175	F9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.E7	GBM cell 189	Brain	Homo sapiens	1001000175	E7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A10	GBM cell 190	Brain	Homo sapiens	1001000175	A10	Tumor	BT_S2	8	Immune cell	Regular
1001000175.E4	GBM cell 191	Brain	Homo sapiens	1001000175	E4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B3	GBM cell 192	Brain	Homo sapiens	1001000175	B3	Tumor	BT_S2	8	Immune cell	Regular
1001000175.G1	GBM cell 193	Brain	Homo sapiens	1001000175	G1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A2	GBM cell 194	Brain	Homo sapiens	1001000175	A2	Tumor	BT_S2	8	Immune cell	Regular
1001000175.H1	GBM cell 195	Brain	Homo sapiens	1001000175	H1	Tumor	BT_S2	2	Oligodendrocyte	Regular
1001000175.E11	GBM cell 196	Brain	Homo sapiens	1001000175	E11	Tumor	BT_S2	8	Immune cell	Regular
1001000175.B10	GBM cell 197	Brain	Homo sapiens	1001000175	B10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C10	GBM cell 198	Brain	Homo sapiens	1001000175	C10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B5	GBM cell 199	Brain	Homo sapiens	1001000175	B5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D1	GBM cell 200	Brain	Homo sapiens	1001000175	D1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C2	GBM cell 201	Brain	Homo sapiens	1001000175	C2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F4	GBM cell 202	Brain	Homo sapiens	1001000175	F4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.E2	GBM cell 203	Brain	Homo sapiens	1001000175	E2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H3	GBM cell 204	Brain	Homo sapiens	1001000175	H3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A4	GBM cell 205	Brain	Homo sapiens	1001000175	A4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C12	GBM cell 206	Brain	Homo sapiens	1001000175	C12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.G10	GBM cell 207	Brain	Homo sapiens	1001000175	G10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F2	GBM cell 208	Brain	Homo sapiens	1001000175	F2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D11	GBM cell 209	Brain	Homo sapiens	1001000175	D11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F5	GBM cell 210	Brain	Homo sapiens	1001000175	F5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C8	GBM cell 211	Brain	Homo sapiens	1001000175	C8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F12	GBM cell 212	Brain	Homo sapiens	1001000175	F12	Tumor	BT_S2	1	Neoplastic	Neoplastic
1001000175.B7	GBM cell 213	Brain	Homo sapiens	1001000175	B7	Tumor	BT_S2	8	Immune cell	Regular
1001000175.D3	GBM cell 214	Brain	Homo sapiens	1001000175	D3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C9	GBM cell 215	Brain	Homo sapiens	1001000175	C9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D6	GBM cell 216	Brain	Homo sapiens	1001000175	D6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.E6	GBM cell 217	Brain	Homo sapiens	1001000175	E6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A6	GBM cell 218	Brain	Homo sapiens	1001000175	A6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H8	GBM cell 219	Brain	Homo sapiens	1001000175	H8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B2	GBM cell 220	Brain	Homo sapiens	1001000175	B2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B11	GBM cell 221	Brain	Homo sapiens	1001000175	B11	Tumor	BT_S2	11	Neoplastic	Neoplastic
